epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.21653,1.65143,2.55213,1.24425,0.01944,0.53283,0.26966,0.16609,1.32182,2.8324,1.02264,0.000654762,0.000654762,0.000654762
2,17.1766,1.37731,1.34205,1.05744,0.7587,0.67917,0.74773,0.46571,1.33733,1.55861,1.07931,0.00131881,0.00131881,0.00131881
3,24.8722,1.3604,1.21353,1.04038,0.83328,0.74484,0.82118,0.50263,1.32383,1.05901,1.07472,0.00198022,0.00198022,0.00198022
4,32.6696,1.36666,1.14341,1.04711,0.70296,0.71042,0.70872,0.43477,1.29836,1.62598,1.02325,0.00198812,0.00198812,0.00198812
5,40.562,1.30328,1.06056,1.03333,0.78433,0.77099,0.83209,0.51467,1.29234,1.02529,1.0616,0.00198416,0.00198416,0.00198416
6,48.5517,1.3025,1.00153,1.02365,0.76907,0.81426,0.83603,0.52496,1.28786,1.00416,1.01428,0.0019802,0.0019802,0.0019802
7,56.733,1.28162,0.9404,1.02355,0.83666,0.82927,0.88651,0.56901,1.26385,0.87136,1.00755,0.00197624,0.00197624,0.00197624
8,64.8889,1.28558,0.92674,1.01333,0.80442,0.81797,0.86573,0.55897,1.25445,0.90426,1.01304,0.00197228,0.00197228,0.00197228
9,72.7179,1.26254,0.90925,1.01225,0.82969,0.8349,0.89728,0.59104,1.21203,0.81423,0.99768,0.00196832,0.00196832,0.00196832
10,80.7818,1.25506,0.88448,1.01244,0.84966,0.84053,0.90804,0.58926,1.24588,0.81086,1.00776,0.00196436,0.00196436,0.00196436
11,88.7783,1.23334,0.87831,0.99635,0.80028,0.80863,0.89506,0.59395,1.21136,0.84279,1.01461,0.0019604,0.0019604,0.0019604
12,96.7205,1.23023,0.85425,0.99994,0.85743,0.81051,0.893,0.5941,1.22496,0.87472,1.00138,0.00195644,0.00195644,0.00195644
13,104.561,1.22895,0.83809,1.00304,0.86698,0.80709,0.90608,0.59449,1.24454,0.7748,1.02168,0.00195248,0.00195248,0.00195248
14,112.379,1.24519,0.84303,1.01993,0.82204,0.85553,0.90556,0.60632,1.21568,0.78438,1.00206,0.00194852,0.00194852,0.00194852
15,120.281,1.21435,0.82248,0.99521,0.83374,0.81801,0.88353,0.59807,1.24144,0.76663,1.00496,0.00194456,0.00194456,0.00194456
16,128.157,1.22441,0.8053,0.98859,0.83787,0.83677,0.89329,0.60084,1.23702,0.7686,1.01044,0.0019406,0.0019406,0.0019406
17,136.075,1.22166,0.81609,0.99996,0.84052,0.81614,0.89296,0.60336,1.21681,0.76202,0.99178,0.00193664,0.00193664,0.00193664
18,144.087,1.22741,0.8186,0.99303,0.80312,0.77674,0.85038,0.53263,1.36409,0.85534,1.03555,0.00193268,0.00193268,0.00193268
19,152.047,1.20972,0.79757,0.99098,0.85897,0.84053,0.9138,0.62233,1.20129,0.75579,0.99037,0.00192872,0.00192872,0.00192872
20,159.937,1.1769,0.76956,0.9793,0.87487,0.83957,0.90924,0.62153,1.16812,0.76813,0.98579,0.00192476,0.00192476,0.00192476
21,167.774,1.17945,0.77172,0.98339,0.81939,0.85553,0.89331,0.61365,1.17818,0.77848,0.98983,0.0019208,0.0019208,0.0019208
22,175.551,1.18568,0.79431,0.99298,0.86051,0.803,0.89542,0.60874,1.21448,0.73904,1.02142,0.00191684,0.00191684,0.00191684
23,183.263,1.19585,0.77746,0.99152,0.84898,0.8438,0.9083,0.61236,1.23991,0.75904,1.01158,0.00191288,0.00191288,0.00191288
24,191.024,1.17921,0.76894,0.98766,0.8169,0.84543,0.90715,0.60757,1.2396,0.74246,1.00908,0.00190892,0.00190892,0.00190892
25,198.972,1.19405,0.78302,0.9813,0.86593,0.7998,0.90786,0.61664,1.21234,0.79383,1.00378,0.00190496,0.00190496,0.00190496
26,206.913,1.17364,0.76787,0.98033,0.88567,0.83114,0.9087,0.60296,1.22699,0.74486,0.9982,0.001901,0.001901,0.001901
27,214.817,1.17645,0.75557,0.9764,0.86732,0.82552,0.9137,0.61227,1.20398,0.75724,0.99639,0.00189704,0.00189704,0.00189704
28,222.678,1.16431,0.74405,0.98011,0.86557,0.83352,0.91198,0.6182,1.20294,0.72197,0.99248,0.00189308,0.00189308,0.00189308
29,230.477,1.18525,0.769,0.98715,0.84374,0.85741,0.90718,0.60986,1.21786,0.70965,0.98944,0.00188912,0.00188912,0.00188912
30,238.485,1.16715,0.75734,0.98106,0.83608,0.84991,0.90893,0.61793,1.17332,0.72535,0.98244,0.00188516,0.00188516,0.00188516
31,246.612,1.16622,0.75299,0.97915,0.86466,0.82927,0.89744,0.58188,1.25177,0.81216,1.0007,0.0018812,0.0018812,0.0018812
32,254.636,1.16865,0.73053,0.97424,0.85773,0.83703,0.90659,0.61709,1.20949,0.70747,1.00823,0.00187724,0.00187724,0.00187724
33,262.553,1.17024,0.7476,0.97059,0.88828,0.83539,0.91501,0.62858,1.18039,0.698,0.97862,0.00187328,0.00187328,0.00187328
34,270.907,1.14887,0.73453,0.97092,0.877,0.82937,0.92058,0.62655,1.18391,0.68241,0.99444,0.00186932,0.00186932,0.00186932
35,279.045,1.14416,0.73246,0.97693,0.88943,0.83009,0.92458,0.62594,1.20116,0.69086,0.99233,0.00186536,0.00186536,0.00186536
36,287.311,1.14752,0.72136,0.96843,0.91406,0.81818,0.92157,0.63089,1.16996,0.67785,0.97544,0.0018614,0.0018614,0.0018614
37,295.453,1.1571,0.72652,0.97943,0.84492,0.84843,0.90345,0.60505,1.24192,0.71384,1.01379,0.00185744,0.00185744,0.00185744
38,303.606,1.14257,0.71698,0.96801,0.81181,0.84174,0.88926,0.61752,1.21016,0.71708,0.99602,0.00185348,0.00185348,0.00185348
39,312.146,1.15051,0.72582,0.97293,0.85542,0.85178,0.90626,0.62476,1.18353,0.72775,0.99228,0.00184952,0.00184952,0.00184952
40,320.744,1.14267,0.72917,0.96486,0.8835,0.8395,0.91189,0.62003,1.19855,0.68552,0.994,0.00184556,0.00184556,0.00184556
41,328.984,1.14114,0.70845,0.96759,0.88128,0.81989,0.91197,0.61874,1.20289,0.68845,0.99562,0.0018416,0.0018416,0.0018416
42,336.71,1.13451,0.70931,0.96488,0.84154,0.86684,0.91435,0.62863,1.19367,0.69942,0.99344,0.00183764,0.00183764,0.00183764
43,344.397,1.14453,0.70623,0.96299,0.8772,0.81614,0.91557,0.62384,1.19266,0.70117,0.98766,0.00183368,0.00183368,0.00183368
44,352.328,1.1251,0.68805,0.96317,0.83022,0.86237,0.89746,0.61258,1.18345,0.72754,0.98985,0.00182972,0.00182972,0.00182972
45,360.295,1.13379,0.69072,0.96116,0.88653,0.81989,0.92169,0.63934,1.19838,0.65191,0.99393,0.00182576,0.00182576,0.00182576
46,368.222,1.11954,0.69091,0.95783,0.84693,0.88239,0.91788,0.63727,1.18539,0.68318,0.97987,0.0018218,0.0018218,0.0018218
47,376.009,1.13271,0.69507,0.9624,0.85766,0.84803,0.90075,0.62061,1.20552,0.69929,0.99109,0.00181784,0.00181784,0.00181784
48,383.983,1.13168,0.69887,0.96259,0.88531,0.811,0.90698,0.62762,1.17413,0.70686,0.98565,0.00181388,0.00181388,0.00181388
