epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9984,1.54805,2.38627,1.16901,0.88047,0.16615,0.58004,0.3526,1.28518,2.62087,1.01998,0.000657277,0.000657277,0.000657277
2,20.1934,1.38918,1.3083,1.06521,0.76532,0.77293,0.81496,0.48985,1.30439,1.25704,1.05335,0.00132132,0.00132132,0.00132132
3,29.0881,1.33679,1.18406,1.04743,0.78566,0.72782,0.80249,0.50492,1.30746,1.127,1.0831,0.00198273,0.00198273,0.00198273
4,38.0868,1.36476,1.12992,1.0606,0.81366,0.72883,0.84268,0.53698,1.22843,1.32707,1.06808,0.00198812,0.00198812,0.00198812
5,47.1134,1.29372,1.00528,1.03632,0.78166,0.78947,0.85072,0.53622,1.24581,0.98496,1.04427,0.00198416,0.00198416,0.00198416
6,56.1819,1.30561,0.98888,1.04028,0.79313,0.77254,0.84128,0.53439,1.23799,0.92429,1.04408,0.0019802,0.0019802,0.0019802
7,65.1528,1.27941,0.94214,1.02403,0.78034,0.77143,0.82942,0.54191,1.22411,0.92619,1.03613,0.00197624,0.00197624,0.00197624
8,74.1994,1.24165,1.0071,1.01319,0.82497,0.8015,0.86595,0.5447,1.22314,0.89512,1.04653,0.00197228,0.00197228,0.00197228
9,83.1593,1.26412,0.89745,1.01943,0.8251,0.81353,0.87657,0.57784,1.18366,0.8478,1.00682,0.00196832,0.00196832,0.00196832
10,92.2172,1.24632,0.87978,1.01384,0.80446,0.77293,0.83022,0.53189,1.24243,0.87908,1.038,0.00196436,0.00196436,0.00196436
11,101.18,1.24649,0.88317,1.01239,0.84833,0.77381,0.8718,0.57831,1.17912,0.8312,1.01699,0.0019604,0.0019604,0.0019604
12,110.149,1.21776,0.84494,1.00537,0.82921,0.82857,0.89512,0.60207,1.14244,0.85958,1.00752,0.00195644,0.00195644,0.00195644
13,119.081,1.22756,0.84635,1.00748,0.82318,0.83008,0.89853,0.60986,1.13124,0.76609,0.99271,0.00195248,0.00195248,0.00195248
14,128.076,1.21469,0.82649,1.00257,0.82705,0.77664,0.85827,0.56393,1.22803,0.84191,1.02782,0.00194852,0.00194852,0.00194852
15,136.82,1.22197,0.82772,1.00276,0.81018,0.81955,0.88437,0.59393,1.18028,0.8174,1.00751,0.00194456,0.00194456,0.00194456
16,145.429,1.21642,0.81605,1.00555,0.82617,0.82857,0.90717,0.61171,1.16885,0.75525,1.00035,0.0019406,0.0019406,0.0019406
17,154.122,1.19054,0.78855,0.98785,0.81276,0.80288,0.87731,0.60038,1.13328,0.79818,0.99098,0.00193664,0.00193664,0.00193664
18,162.68,1.21859,0.81482,1.00974,0.84909,0.8015,0.89088,0.59845,1.17409,0.77512,1.0032,0.00193268,0.00193268,0.00193268
19,171.331,1.20653,0.8039,1.00387,0.87187,0.78496,0.89463,0.60029,1.16,0.75849,0.99827,0.00192872,0.00192872,0.00192872
20,179.99,1.1913,0.79945,0.99783,0.84878,0.82719,0.90789,0.61512,1.13818,0.73152,0.98973,0.00192476,0.00192476,0.00192476
21,188.663,1.20164,0.7976,1.00505,0.82829,0.80517,0.88922,0.58403,1.173,0.80566,1.00514,0.0019208,0.0019208,0.0019208
22,197.483,1.18341,0.766,0.98825,0.802,0.84812,0.90248,0.6193,1.1286,0.74238,0.99267,0.00191684,0.00191684,0.00191684
23,206.203,1.19107,0.78261,0.99651,0.83891,0.83609,0.90305,0.61909,1.1299,0.74064,0.99043,0.00191288,0.00191288,0.00191288
24,214.851,1.18981,0.78129,0.99382,0.84406,0.85865,0.91416,0.62774,1.14169,0.72277,1.00114,0.00190892,0.00190892,0.00190892
25,223.652,1.17232,0.75818,0.98407,0.79686,0.85531,0.87556,0.5738,1.15268,0.86422,1.01452,0.00190496,0.00190496,0.00190496
26,232.298,1.18165,0.75651,0.99832,0.83053,0.84211,0.90439,0.61588,1.12248,0.74486,0.99134,0.001901,0.001901,0.001901
27,240.915,1.17584,0.74865,0.98803,0.82947,0.80602,0.87964,0.59175,1.15857,0.75454,0.99572,0.00189704,0.00189704,0.00189704
28,249.586,1.17471,0.77843,0.9897,0.81019,0.8344,0.89936,0.62126,1.12025,0.72716,0.98565,0.00189308,0.00189308,0.00189308
29,258.302,1.16385,0.74147,0.98712,0.8473,0.83308,0.90743,0.61989,1.14997,0.70026,0.99526,0.00188912,0.00188912,0.00188912
30,267.254,1.17547,0.75235,0.99198,0.87846,0.81504,0.91085,0.63385,1.12608,0.70642,0.98371,0.00188516,0.00188516,0.00188516
31,278.548,1.14756,0.73821,0.97905,0.87998,0.83308,0.90713,0.62101,1.12527,0.70364,0.99032,0.0018812,0.0018812,0.0018812
32,287.532,1.16719,0.74663,0.98373,0.89369,0.79549,0.89708,0.61324,1.14763,0.73165,1.00144,0.00187724,0.00187724,0.00187724
33,296.404,1.1399,0.72388,0.97508,0.84382,0.82556,0.91182,0.63209,1.11135,0.70044,0.98166,0.00187328,0.00187328,0.00187328
