epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.927876,2.31364,5.00382,3.52017,1.9497,0.00667,0.05797,0.00381,0.00169,0.00333,0.02899,0.00204,0.00054,2.0299,4.25729,3.49471,1.9133,0,0,0
2,1.40225,2.18708,5.48265,3.44907,2.18824,0.00833,0.07246,0.00499,0.00177,0.00333,0.02899,0.00191,0.00053,2.045,4.26188,3.48928,1.9195,1.99604e-05,1.99604e-05,1.99604e-05
3,1.86794,2.29774,5.10355,3.49197,2.07786,0.005,0.04348,0.00543,0.00141,0.00167,0.01449,0.00207,0.00021,2.04445,4.25055,3.49406,1.92308,3.98416e-05,3.98416e-05,3.98416e-05
4,2.34057,2.4983,4.86555,3.54882,1.96896,0.01333,0.11594,0.00766,0.00188,0.00333,0.02899,0.00172,0.00051,1.85562,3.87823,3.43157,1.71413,5.96436e-05,5.96436e-05,5.96436e-05
5,3.02027,2.11618,4.3634,3.51807,1.88414,0.01,0.08696,0.00603,0.00174,0.00333,0.02899,0.00174,0.00026,1.85882,3.88694,3.43884,1.72169,7.93664e-05,7.93664e-05,7.93664e-05
6,3.5874,1.98479,4.63922,3.50747,1.78146,0.02167,0.18841,0.01502,0.00618,0.01333,0.11594,0.00805,0.00292,1.62831,3.42477,3.3662,1.5063,9.901e-05,9.901e-05,9.901e-05
7,4.1972,1.75176,3.94917,3.34248,1.67612,0.03,0.26087,0.0274,0.01037,0.01833,0.15942,0.01079,0.00464,1.55864,3.12205,3.27741,1.40641,0.000118574,0.000118574,0.000118574
8,4.89199,1.69418,3.87549,3.20298,1.6202,0.03833,0.33333,0.02977,0.01418,0.035,0.30435,0.02489,0.01079,1.53492,3.02589,3.21633,1.35153,0.00013806,0.00013806,0.00013806
9,5.58248,1.74027,3.39371,3.36404,1.4821,0.04,0.34783,0.04881,0.02072,0.03667,0.31884,0.03602,0.01446,1.55026,3.02865,3.17992,1.31229,0.000157466,0.000157466,0.000157466
10,6.21366,1.63476,3.24544,3.22962,1.39516,0.055,0.47826,0.06758,0.03296,0.045,0.3913,0.03681,0.01477,1.52301,3.09558,3.16536,1.28278,0.000176792,0.000176792,0.000176792
